Year,Fatalities,Population,Drivers,Vehicles,Miles,Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.00, 50894,196560.00,100998.00,95703.00,926.00,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.00, 50724,198712.00,103172.00,98859.00,964.00,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.00, 52725,200706.00,105410.00,102987.00,1016.00,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969.00, 53543,202677.00,108306.00,107412.00,1062.00,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.00, 52627,205052.00,111543.00,111242.00,1110.00,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.00, 52542,207661.00,114426.00,116330.00,1179.00,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.00, 54589,209896.00,118414.00,122557.00,1260.00,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.00, 54052,211909.00,121546.00,130025.00,1313.00,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.00, 45196,213854.00,125427.00,134900.00,1281.00,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.00, 44525,215973.00,129791.00,126153.00,1328.00,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.00, 45523,218035.00,134036.00,130793.00,1402.00,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.00, 47878,220239.00,138121.00,134514.00,1467.00,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.00, 50331,222585.00,140844.00,140374.00,1545.00,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.00, 51093,225055.00,143284.00,144317.00,1529.00,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.00, 51091,227225.00,145295.00,146845.00,1527.00,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981.00, 49301,229466.00,147075.00,149330.00,1555.00,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982.00, 43945,231664.00,150234.00,151148.00,1595.00,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983.00, 42589,233792.00,154389.00,153830.00,1653.00,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984.00, 44257,235825.00,155424.00,158900.00,1720.00,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.00, 43825,237924.00,156868.00,166047.00,1775.00,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.00, 46087,240133.00,159486.00,168545.00,1835.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.00, 46390,242289.00,161816.00,172750.00,1921.00,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.00, 47087,244499.00,162854.00,177455.00,2026.00,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.00, 45582,246819.00,165554.00,181165.00,2096.00,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.00, 44599,249464.00,167015.00,184275.00,2144.00,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.00, 41508,252153.00,168995.00,186370.00,2172.00,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.00, 39250,255030.00,173125.00,184938.00,2247.00,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.00, 40150,257783.00,173149.00,188350.00,2296.00,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.00, 40716,260327.00,175403.00,192497.00,2358.00,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.00, 41817,262803.00,176628.00,197065.00,2423.00,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.00, 42065,265229.00,179539.00,201631.00,2484.00,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.00, 42013,267784.00,182709.00,203568.00,2552.00,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.00, 41501,270248.00,184861.00,208076.00,2628.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.00, 41717,272691.00,187170.00,212685.00,2690.00,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.00, 41945,282162.00,190625.00,217028.00,2747.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.00, 42196,284969.00,191276.00,221230.00,2796.00,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002.00, 43005,287625.00,194602.00,225685.00,2856.00,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003.00, 42884,290108.00,196166.00,230633.00,2890.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.00, 4236,292805.00,198889.00,237949 ,2965.00,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005.00,42510.00,295517.00,200549.00,245628.00,2989.00,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006.00,42708.00,298380.00,202810.00,251415.00,3014.00,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007.00,41259.00,301231.00,205742.00,257415.00,3031.00,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008.00,37423.00,304094.00,208321.00,259360.00,2977.00,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009.00,33883.00,306772.00,209618.00,258958.00,2957.00,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.00,32999.00,309326.00,210115.00,257312.00,2967.00,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011.00,32479.00,311588.00,211875.00,265043.00,2950.00,8.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.00,33651.00,313914.00,211815.00,265647.00,2969.00,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
