date,on_time_arrival_perc,,,
1/1/95,73.83,,,
2/1/95,78.91,,,
3/1/95,79.3,,,
4/1/95,81.3,,,
5/1/95,80.68,,,
6/1/95,75.94,,,
7/1/95,80.08,,,
8/1/95,79.85,,,
9/1/95,85.58,,,
10/1/95,82.09,,,
11/1/95,77.85,,,
12/1/95,67.66,,,
1/1/96,62.67,,,
2/1/96,71.9,,,
3/1/96,75.94,,,
4/1/96,80.18,,,
5/1/96,78.92,,,
6/1/96,74.67,,,
7/1/96,75.29,,,
8/1/96,74.69,,,
9/1/96,78.69,,,
10/1/96,77.19,,,
11/1/96,77.91,,,
12/1/96,66.63,,,
1/1/97,68.41,,,
2/1/97,75.21,,,
3/1/97,78.1,,,
4/1/97,79.85,,,
5/1/97,83.16,,,
6/1/97,76.14,,,
7/1/97,77.5,,,
8/1/97,78.56,,,
9/1/97,85.03,,,
10/1/97,81.55,,,
11/1/97,78.22,,,
12/1/97,73.54,,,
1/1/98,75.05,,,
2/1/98,75.39,,,
3/1/98,75.85,,,
4/1/98,79.12,,,
5/1/98,77.48,,,
6/1/98,70.42,,,
7/1/98,78.86,,,
8/1/98,77.03,,,
9/1/98,78.94,,,
10/1/98,81.75,,,
11/1/98,83.29,,,
12/1/98,73.22,,,
1/1/99,67.66,,,
2/1/99,78.91,,,
3/1/99,78.09,,,
4/1/99,75.73,,,
5/1/99,76.19,,,
6/1/99,70.88,,,
7/1/99,71.07,,,
8/1/99,76.11,,,
9/1/99,79.35,,,
10/1/99,80.06,,,
11/1/99,81.41,,,
12/1/99,78,,,
1/1/00,73.75,,,
2/1/00,74.76,,,
3/1/00,76.99,,,
4/1/00,75.37,,,
5/1/00,74.25,,,
6/1/00,66.34,,,
7/1/00,70.31,,,
8/1/00,69.96,,,
9/1/00,78.1,,,
10/1/00,76.07,,,
11/1/00,72.82,,,
12/1/00,62.75,,,
1/1/01,75.42,,,
2/1/01,72.73,,,
3/1/01,75.22,,,
4/1/01,79.29,,,
5/1/01,81.47,,,
6/1/01,75.18,,,
7/1/01,78.12,,,
8/1/01,76.18,,,
9/1/01,67.66,,,
10/1/01,84.78,,,
11/1/01,84.71,,,
12/1/01,80.22,,,
1/1/02,81.02,,,
2/1/02,84.69,,,
3/1/02,78.59,,,
4/1/02,82.58,,,
5/1/02,82.76,,,
6/1/02,78.64,,,
7/1/02,79.66,,,
