year,fatalities
1966.00,50894.00
1967.00,50724.00
1968.00,52725.00
1969.00,53543.00
1970.00,52627.00
1971.00,52542.00
1972.00,54589.00
1973.00,54052.00
1974.00,45196.00
1975.00,44525.00
1976.00,45523.00
1977.00,47878.00
1978.00,50331.00
1979.00,51093.00
1980.00,51091.00
1981.00,49301.00
1982.00,43945.00
1983.00,42589.00
1984.00,44257.00
1985.00,43825.00
1986.00,46087.00
1987.00,46390.00
1988.00,47087.00
1989.00,45582.00
1990.00,44599.00
1991.00,41508.00
1992.00,39250.00
1993.00,40150.00
1994.00,40716.00
1995.00,41817.00
1996.00,42065.00
1997.00,42013.00
1998.00,41501.00
1999.00,41717.00
2000.00,41945.00
2001.00,42196.00
2002.00,43005.00
2003.00,42884.00
2004.00,42836.00
2005.00,43510.00
2006.00,42708.00
2007.00,41259.00
2008.00,37423.00
2009.00,33883.00
2010.00,32999.00
2011.00,32479.00
2012.00,33561.00
