Month,auto_ship_mil_dollars,,,,,,,,,,,,,,
Jan-92,5618.00,,,,,,,,,,,,,,
Feb-92,7205.00,,,,,,,,,,,,,,
Mar-92,7446.00,,,,,,,,,,,,,,
Apr-92,7420.00,,,,,,,,,,,,,,
May-92,8076.00,,,,,,,,,,,,,,
Jun-92,7692.00,,,,,,,,,,,,,,
Jul-92,4395.00,,,,,,,,,,,,,,
Aug-92,7045.00,,,,,,,,,,,,,,
Sep-92,7058.00,,,,,,,,,,,,,,
Oct-92,8219.00,,,,,,,,,,,,,,
Nov-92,7432.00,,,,,,,,,,,,,,
Dec-92,6427.00,,,,,,,,,,,,,,
Jan-93,7091.00,,,,,,,,,,,,,,
Feb-93,8339.00,,,,,,,,,,,,,,
Mar-93,8231.00,,,,,,,,,,,,,,
Apr-93,7772.00,,,,,,,,,,,,,,
May-93,8012.00,,,,,,,,,,,,,,
Jun-93,8015.00,,,,,,,,,,,,,,
Jul-93,3831.00,,,,,,,,,,,,,,
Aug-93,6246.00,,,,,,,,,,,,,,
Sep-93,7399.00,,,,,,,,,,,,,,
Oct-93,8546.00,,,,,,,,,,,,,,
Nov-93,8186.00,,,,,,,,,,,,,,
Dec-93,7267.00,,,,,,,,,,,,,,
Jan-94,7986.00,,,,,,,,,,,,,,
Feb-94,9482.00,,,,,,,,,,,,,,
Mar-94,9215.00,,,,,,,,,,,,,,
Apr-94,9092.00,,,,,,,,,,,,,,
May-94,9346.00,,,,,,,,,,,,,,
Jun-94,9653.00,,,,,,,,,,,,,,
Jul-94,4748.00,,,,,,,,,,,,,,
Aug-94,8832.00,,,,,,,,,,,,,,
Sep-94,9194.00,,,,,,,,,,,,,,
Oct-94,9583.00,,,,,,,,,,,,,,
Nov-94,9573.00,,,,,,,,,,,,,,
Dec-94,8560.00,,,,,,,,,,,,,,
Jan-95,8541.00,,,,,,,,,,,,,,
Feb-95,10048.00,,,,,,,,,,,,,,
Mar-95,9796.00,,,,,,,,,,,,,,
Apr-95,8781.00,,,,,,,,,,,,,,
May-95,8851.00,,,,,,,,,,,,,,
Jun-95,8877.00,,,,,,,,,,,,,,
Jul-95,4207.00,,,,,,,,,,,,,,
Aug-95,7898.00,,,,,,,,,,,,,,
Sep-95,8999.00,,,,,,,,,,,,,,
Oct-95,9167.00,,,,,,,,,,,,,,
Nov-95,8333.00,,,,,,,,,,,,,,
Dec-95,7236.00,,,,,,,,,,,,,,
Jan-96,7379.00,,,,,,,,,,,,,,
Feb-96,8852.00,,,,,,,,,,,,,,
Mar-96,7817.00,,,,,,,,,,,,,,
Apr-96,8688.00,,,,,,,,,,,,,,
May-96,8993.00,,,,,,,,,,,,,,
Jun-96,8521.00,,,,,,,,,,,,,,
Jul-96,4900.00,,,,,,,,,,,,,,
Aug-96,7837.00,,,,,,,,,,,,,,
Sep-96,8895.00,,,,,,,,,,,,,,
Oct-96,8739.00,,,,,,,,,,,,,,
Nov-96,8213.00,,,,,,,,,,,,,,
Dec-96,6425.00,,,,,,,,,,,,,,
Jan-97,7698.00,,,,,,,,,,,,,,
Feb-97,8898.00,,,,,,,,,,,,,,
Mar-97,8228.00,,,,,,,,,,,,,,
Apr-97,8121.00,,,,,,,,,,,,,,
May-97,7804.00,,,,,,,,,,,,,,
Jun-97,8120.00,,,,,,,,,,,,,,
Jul-97,5151.00,,,,,,,,,,,,,,
Aug-97,7943.00,,,,,,,,,,,,,,
Sep-97,8179.00,,,,,,,,,,,,,,
Oct-97,9354.00,,,,,,,,,,,,,,
Nov-97,8490.00,,,,,,,,,,,,,,
Dec-97,7380.00,,,,,,,,,,,,,,
Jan-98,7248.00,,,,,,,,,,,,,,
Feb-98,9013.00,,,,,,,,,,,,,,
Mar-98,9280.00,,,,,,,,,,,,,,
Apr-98,8622.00,,,,,,,,,,,,,,
May-98,8706.00,,,,,,,,,,,,,,
Jun-98,7312.00,,,,,,,,,,,,,,
Jul-98,3874.00,,,,,,,,,,,,,,
Aug-98,8162.00,,,,,,,,,,,,,,
Sep-98,9006.00,,,,,,,,,,,,,,
Oct-98,9658.00,,,,,,,,,,,,,,
Nov-98,8396.00,,,,,,,,,,,,,,
Dec-98,7431.00,,,,,,,,,,,,,,
Jan-99,7594.00,,,,,,,,,,,,,,
Feb-99,9144.00,,,,,,,,,,,,,,
Mar-99,9429.00,,,,,,,,,,,,,,
Apr-99,8550.00,,,,,,,,,,,,,,
May-99,8635.00,,,,,,,,,,,,,,
Jun-99,8738.00,,,,,,,,,,,,,,
Jul-99,4657.00,,,,,,,,,,,,,,
Aug-99,8797.00,,,,,,,,,,,,,,
Sep-99,8895.00,,,,,,,,,,,,,,
Oct-99,9280.00,,,,,,,,,,,,,,
Nov-99,8607.00,,,,,,,,,,,,,,
Dec-99,7477.00,,,,,,,,,,,,,,
Jan-00,8231.00,,,,,,,,,,,,,,
Feb-00,9117.00,,,,,,,,,,,,,,
Mar-00,9817.00,,,,,,,,,,,,,,
Apr-00,8467.00,,,,,,,,,,,,,,
May-00,8919.00,,,,,,,,,,,,,,
Jun-00,9536.00,,,,,,,,,,,,,,
Jul-00,4437.00,,,,,,,,,,,,,,
Aug-00,7941.00,,,,,,,,,,,,,,
Sep-00,9267.00,,,,,,,,,,,,,,
Oct-00,9133.00,,,,,,,,,,,,,,
Nov-00,7720.00,,,,,,,,,,,,,,
Dec-00,6175.00,,,,,,,,,,,,,,
Jan-01,6485.00,,,,,,,,,,,,,,
Feb-01,7141.00,,,,,,,,,,,,,,
Mar-01,8540.00,,,,,,,,,,,,,,
Apr-01,6985.00,,,,,,,,,,,,,,
May-01,8429.00,,,,,,,,,,,,,,
Jun-01,7998.00,,,,,,,,,,,,,,
Jul-01,4411.00,,,,,,,,,,,,,,
Aug-01,8182.00,,,,,,,,,,,,,,
Sep-01,6828.00,,,,,,,,,,,,,,
Oct-01,8374.00,,,,,,,,,,,,,,
Nov-01,7314.00,,,,,,,,,,,,,,
Dec-01,6359.00,,,,,,,,,,,,,,
Jan-02,7229.00,,,,,,,,,,,,,,
Feb-02,7240.00,,,,,,,,,,,,,,
Mar-02,7542.00,,,,,,,,,,,,,,
Apr-02,7887.00,,,,,,,,,,,,,,
May-02,8383.00,,,,,,,,,,,,,,
Jun-02,7726.00,,,,,,,,,,,,,,
Jul-02,4982.00,,,,,,,,,,,,,,
Aug-02,8088.00,,,,,,,,,,,,,,
Sep-02,7464.00,,,,,,,,,,,,,,
Oct-02,8564.00,,,,,,,,,,,,,,
Nov-02,7147.00,,,,,,,,,,,,,,
Dec-02,5875.00,,,,,,,,,,,,,,
Jan-03,7382.00,,,,,,,,,,,,,,
Feb-03,7307.00,,,,,,,,,,,,,,
Mar-03,7922.00,,,,,,,,,,,,,,
Apr-03,6959.00,,,,,,,,,,,,,,
May-03,7638.00,,,,,,,,,,,,,,
Jun-03,7375.00,,,,,,,,,,,,,,
Jul-03,4903.00,,,,,,,,,,,,,,
Aug-03,6937.00,,,,,,,,,,,,,,
Sep-03,8036.00,,,,,,,,,,,,,,
Oct-03,8521.00,,,,,,,,,,,,,,
Nov-03,6681.00,,,,,,,,,,,,,,
Dec-03,6575.00,,,,,,,,,,,,,,
Jan-04,6669.00,,,,,,,,,,,,,,
Feb-04,7777.00,,,,,,,,,,,,,,
Mar-04,9103.00,,,,,,,,,,,,,,
Apr-04,7322.00,,,,,,,,,,,,,,
May-04,7306.00,,,,,,,,,,,,,,
Jun-04,7946.00,,,,,,,,,,,,,,
Jul-04,4212.00,,,,,,,,,,,,,,
Aug-04,7709.00,,,,,,,,,,,,,,
Sep-04,7875.00,,,,,,,,,,,,,,
Oct-04,7454.00,,,,,,,,,,,,,,
Nov-04,6838.00,,,,,,,,,,,,,,
Dec-04,6636.00,,,,,,,,,,,,,,
Jan-05,6522.00,,,,,,,,,,,,,,
Feb-05,7305.00,,,,,,,,,,,,,,
Mar-05,7694.00,,,,,,,,,,,,,,
Apr-05,6968.00,,,,,,,,,,,,,,
May-05,7406.00,,,,,,,,,,,,,,
Jun-05,7908.00,,,,,,,,,,,,,,
Jul-05,4680.00,,,,,,,,,,,,,,
Aug-05,8288.00,,,,,,,,,,,,,,
Sep-05,8400.00,,,,,,,,,,,,,,
Oct-05,8468.00,,,,,,,,,,,,,,
Nov-05,7522.00,,,,,,,,,,,,,,
Dec-05,7205.00,,,,,,,,,,,,,,
Jan-06,7448.00,,,,,,,,,,,,,,
Feb-06,8002.00,,,,,,,,,,,,,,
Mar-06,9821.00,,,,,,,,,,,,,,
Apr-06,7565.00,,,,,,,,,,,,,,
May-06,9137.00,,,,,,,,,,,,,,
Jun-06,9243.00,,,,,,,,,,,,,,
Jul-06,4426.00,,,,,,,,,,,,,,
Aug-06,8661.00,,,,,,,,,,,,,,
Sep-06,7628.00,,,,,,,,,,,,,,
Oct-06,8133.00,,,,,,,,,,,,,,
Nov-06,7286.00,,,,,,,,,,,,,,
Dec-06,6879.00,,,,,,,,,,,,,,
Jan-07,6791.00,,,,,,,,,,,,,,
Feb-07,6897.00,,,,,,,,,,,,,,
Mar-07,8122.00,,,,,,,,,,,,,,
Apr-07,6466.00,,,,,,,,,,,,,,
May-07,7423.00,,,,,,,,,,,,,,
Jun-07,7482.00,,,,,,,,,,,,,,
Jul-07,4946.00,,,,,,,,,,,,,,
Aug-07,8012.00,,,,,,,,,,,,,,
Sep-07,6970.00,,,,,,,,,,,,,,
Oct-07,7963.00,,,,,,,,,,,,,,
Nov-07,7249.00,,,,,,,,,,,,,,
Dec-07,6407.00,,,,,,,,,,,,,,
Jan-08,7320.00,,,,,,,,,,,,,,
Feb-08,7848.00,,,,,,,,,,,,,,
Mar-08,7209.00,,,,,,,,,,,,,,
Apr-08,6790.00,,,,,,,,,,,,,,
May-08,7054.00,,,,,,,,,,,,,,
Jun-08,7328.00,,,,,,,,,,,,,,
Jul-08,5106.00,,,,,,,,,,,,,,
Aug-08,7225.00,,,,,,,,,,,,,,
Sep-08,7297.00,,,,,,,,,,,,,,
Oct-08,7250.00,,,,,,,,,,,,,,
Nov-08,5578.00,,,,,,,,,,,,,,
Dec-08,4836.00,,,,,,,,,,,,,,
Jan-09,3784.00,,,,,,,,,,,,,,
Feb-09,3901.00,,,,,,,,,,,,,,
Mar-09,4117.00,,,,,,,,,,,,,,
Apr-09,3935.00,,,,,,,,,,,,,,
May-09,3424.00,,,,,,,,,,,,,,
Jun-09,3884.00,,,,,,,,,,,,,,
Jul-09,3185.00,,,,,,,,,,,,,,
Aug-09,4505.00,,,,,,,,,,,,,,
Sep-09,4773.00,,,,,,,,,,,,,,
Oct-09,5400.00,,,,,,,,,,,,,,
Nov-09,4967.00,,,,,,,,,,,,,,
Dec-09,5147.00,,,,,,,,,,,,,,
Jan-10,5237.00,,,,,,,,,,,,,,
Feb-10,4896.00,,,,,,,,,,,,,,
Mar-10,5822.00,,,,,,,,,,,,,,
Apr-10,5575.00,,,,,,,,,,,,,,
May-10,5642.00,,,,,,,,,,,,,,
Jun-10,6589.00,,,,,,,,,,,,,,
Jul-10,5245.00,,,,,,,,,,,,,,
Aug-10,7049.00,,,,,,,,,,,,,,
Sep-10,7187.00,,,,,,,,,,,,,,
Oct-10,6713.00,,,,,,,,,,,,,,
Nov-10,6139.00,,,,,,,,,,,,,,
Dec-10,5904.00,,,,,,,,,,,,,,
Jan-11,5689.00,,,,,,,,,,,,,,
Feb-11,6005.00,,,,,,,,,,,,,,
Mar-11,7776.00,,,,,,,,,,,,,,
Apr-11,6117.00,,,,,,,,,,,,,,
May-11,6414.00,,,,,,,,,,,,,,
Jun-11,7161.00,,,,,,,,,,,,,,
Jul-11,5504.00,,,,,,,,,,,,,,
Aug-11,7467.00,,,,,,,,,,,,,,
Sep-11,7281.00,,,,,,,,,,,,,,
Oct-11,8168.00,,,,,,,,,,,,,,
Nov-11,7219.00,,,,,,,,,,,,,,
Dec-11,7273.00,,,,,,,,,,,,,,
Jan-12,7431.00,,,,,,,,,,,,,,
Feb-12,8506.00,,,,,,,,,,,,,,
Mar-12,9219.00,,,,,,,,,,,,,,
Apr-12,9003.00,,,,,,,,,,,,,,
May-12,9993.00,,,,,,,,,,,,,,
Jun-12,10067.00,,,,,,,,,,,,,,
Jul-12,7358.00,,,,,,,,,,,,,,
Aug-12,9683.00,,,,,,,,,,,,,,
Sep-12,9002.00,,,,,,,,,,,,,,
Oct-12,10098.00,,,,,,,,,,,,,,
Nov-12,9727.00,,,,,,,,,,,,,,
Dec-12,8695.00,,,,,,,,,,,,,,
Jan-13,9167.00,,,,,,,,,,,,,,
Feb-13,9744.00,,,,,,,,,,,,,,
Mar-13,10333.00,,,,,,,,,,,,,,
Apr-13,9558.00,,,,,,,,,,,,,,
May-13,9725.00,,,,,,,,,,,,,,
Jun-13,9772.00,,,,,,,,,,,,,,
Jul-13,7214.00,,,,,,,,,,,,,,
Aug-13,10051.00,,,,,,,,,,,,,,
Sep-13,9954.00,,,,,,,,,,,,,,
Oct-13,11180.00,,,,,,,,,,,,,,
Nov-13,10247.00,,,,,,,,,,,,,,
Dec-13,8178.00,,,,,,,,,,,,,,
Jan-14,8708.00,,,,,,,,,,,,,,
Feb-14,9927.00,,,,,,,,,,,,,,
Mar-14,10012.00,,,,,,,,,,,,,,
Apr-14,8942.00,,,,,,,,,,,,,,
May-14,10481.00,,,,,,,,,,,,,,
Jun-14,10934.00,,,,,,,,,,,,,,
Jul-14,8843.00,,,,,,,,,,,,,,
Aug-14,11062.00,,,,,,,,,,,,,,
Sep-14,11432.00,,,,,,,,,,,,,,
Oct-14,12887.00,,,,,,,,,,,,,,
Nov-14,10257.00,,,,,,,,,,,,,,
Dec-14,10576.00,,,,,,,,,,,,,,
Jan-15,8710.00,,,,,,,,,,,,,,
Feb-15,9412.00,,,,,,,,,,,,,,
Mar-15,11936.00,,,,,,,,,,,,,,
Apr-15,10873.00,,,,,,,,,,,,,,
May-15,10932.00,,,,,,,,,,,,,,
Jun-15,11412.00,,,,,,,,,,,,,,
Jul-15,8558.00,,,,,,,,,,,,,,
Aug-15,10530.00,,,,,,,,,,,,,,
Sep-15,11009.00,,,,,,,,,,,,,,
Oct-15,10887.00,,,,,,,,,,,,,,
Nov-15,10277.00,,,,,,,,,,,,,,
Dec-15,10225.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
