year,week,positive_percent
1997,40,0
1997,41,0.727032
1997,42,1.09536
1997,43,0.419413
1997,44,0.527148
1997,45,0.2849
1997,46,0.362976
1997,47,0.908014
1997,48,1.65031
1997,49,1.53433
1997,50,3.17563
1997,51,7.1261
1997,52,12.6008
1997,53,17.9464
1998,1,19.3049
1998,2,20.9235
1998,3,25.6133
1998,4,28.0684
1998,5,26.7176
1998,6,24.3736
1998,7,20.1264
1998,8,14.239
1998,9,9.6876
1998,10,7.5997
1998,11,5.41629
1998,12,4.10156
1998,13,2.79263
1998,14,2.21932
1998,15,2.87399
1998,16,1.47783
1998,17,1.2945
1998,18,1.40105
1998,19,0.867052
1998,20,0.959488
1998,21,0
1998,22,0
1998,23,0
1998,24,0
1998,25,0
1998,26,0
1998,27,0
1998,28,0
1998,29,0
1998,30,0
1998,31,0
1998,32,0
1998,33,0
1998,34,0
1998,35,0
1998,36,0
1998,37,0
1998,38,0
1998,39,0
1998,40,0.142146
1998,41,0.344116
1998,42,0.181378
1998,43,0.330761
1998,44,0.877621
1998,45,0.630063
1998,46,0.390054
1998,47,0.939746
1998,48,1.16813
1998,49,1.85033
1998,50,1.72982
1998,51,3.76076
1998,52,5.91279
1999,1,9.39274
1999,2,14.7596
1999,3,20.2956
1999,4,22.0729
1999,5,27.3156
1999,6,28.2933
1999,7,25.5094
1999,8,25.2267
1999,9,23.3777
1999,10,20.5875
1999,11,15.6203
1999,12,14.3122
1999,13,8.25959
1999,14,7.92079
1999,15,6.44974
1999,16,2.63158
1999,17,2.52708
1999,18,1.73116
1999,19,1.1236
1999,20,1.13269
1999,21,2.92887
1999,22,1.03093
1999,23,0
1999,24,0
1999,25,0
1999,26,0
1999,27,0
1999,28,0
1999,29,0
1999,30,0
1999,31,0
1999,32,0
1999,33,0
1999,34,0
1999,35,0
1999,36,0
1999,37,0
1999,38,0
1999,39,0
1999,40,1.06698
1999,41,1.06213
1999,42,2.2413
1999,43,2.63645
1999,44,3.91198
1999,45,5.74534
1999,46,8.07128
1999,47,10.5574
1999,48,13.7061
1999,49,19.109
1999,50,23.3339
1999,51,30.9596
1999,52,29.3732
2000,1,24.9674
2000,2,21.3028
2000,3,16.7254
2000,4,12.6779
2000,5,10.6593
2000,6,10.1503
2000,7,7.46523
2000,8,6.36537
2000,9,3.70645
2000,10,3.41686
2000,11,2.70408
2000,12,1.75625
2000,13,1.22951
2000,14,1.26162
2000,15,1.70015
2000,16,1.89769
2000,17,1.44404
2000,18,0.942507
2000,19,0.211193
2000,20,0.231214
2000,21,0.777202
2000,22,0.483871
2000,23,0.45045
2000,24,0.147059
2000,25,0
2000,26,0.181488
2000,27,0
2000,28,0
2000,29,0
2000,30,0
2000,31,0
2000,32,0
2000,33,0
2000,34,0
2000,35,0
2000,36,0
2000,37,0
2000,38,0
2000,39,0
2000,40,0.0720981
