Year,Species Common,Number Of Fish
2018,Chinook,243123
2018,Chum,19931257
2018,Coho,3681825
2018,Pink,39386150
2018,Sockeye,50575853
2017,Chinook,263178
2017,Chum,24645894
2017,Coho,5241586
2017,Pink,139200058
2017,Sockeye,53487562
2016,Chinook,417004
2016,Chum,15614886
2016,Coho,3905127
2016,Pink,38167711
2016,Sockeye,53132236
2015,Chinook,516526
2015,Chum,18062598
2015,Coho,3848730
2015,Pink,188300541
2015,Sockeye,54389704
2014,Chinook,495982
2014,Chum,10935710
2014,Coho,6244552
2014,Pink,94750320
2014,Sockeye,44002700
2013,Chinook,323094
2013,Chum,21089781
2013,Coho,5738863
2013,Pink,223647950
2013,Sockeye,29523635
2012,Chinook,342223
2012,Chum,20172516
2012,Coho,3137578
2012,Pink,67848666
2012,Sockeye,35748941
2011,Chinook,459798
2011,Chum,16985907
2011,Coho,3474827
2011,Pink,116100487
2011,Sockeye,40193196
2010,Chinook,378953
2010,Chum,18128274
2010,Coho,4027602
2010,Pink,107226964
2010,Sockeye,41186898
2009,Chinook,361168
2009,Chum,17940186
2009,Coho,4114532
2009,Pink,97130272
2009,Sockeye,43234509
2008,Chinook,344895
2008,Chum,18282649
2008,Coho,4444311
2008,Pink,84043425
2008,Sockeye,38928312
2007,Chinook,562314
2007,Chum,17200759
2007,Coho,3626010
2007,Pink,143894292
2007,Sockeye,47336190
2006,Chinook,624265
2006,Chum,21047210
2006,Coho,4409913
2006,Pink,72760456
2006,Sockeye,41569090
2005,Chinook,679264
2005,Chum,11725809
2005,Coho,4783597
2005,Pink,160878045
2005,Sockeye,43150685
2004,Chinook,794946
2004,Chum,16453599
2004,Coho,5428500
2004,Pink,99646858
2004,Sockeye,44151890
2003,Chinook,607887
2003,Chum,17958773
2003,Coho,4176818
2003,Pink,108704115
2003,Sockeye,30714500
2002,Chinook,552058
2002,Chum,16182582
2002,Coho,5032187
2002,Pink,86935715
2002,Sockeye,21991423
2001,Chinook,368874
2001,Chum,15416089
2001,Coho,4905694
2001,Pink,127456797
2001,Sockeye,26347416
2000,Chinook,349103
2000,Chum,24186028
2000,Coho,4133586
2000,Pink,75018839
2000,Sockeye,33291046
1999,Chinook,433932
1999,Chum,20906781
1999,Coho,4625364
1999,Pink,145966045
1999,Sockeye,44529866
1998,Chinook,579210
1998,Chum,18998030
1998,Coho,4644794
1998,Pink,104378743
1998,Sockeye,22539205
1997,Chinook,654625
1997,Chum,16184924
1997,Coho,3178881
1997,Pink,71742840
1997,Sockeye,30946932
1996,Chinook,521897
1996,Chum,21175086
1996,Coho,6119695
1996,Pink,97746365
1996,Sockeye,50156177
1995,Chinook,653665
1995,Chum,18690846
1995,Coho,6446876
1995,Pink,126886593
1995,Sockeye,63351685
1994,Chinook,631813
1994,Chum,16448636
1994,Coho,9484543
1994,Pink,116178871
1994,Sockeye,52272676
1993,Chinook,662683
1993,Chum,12222417
1993,Coho,6050150
1993,Pink,109733293
1993,Sockeye,64181587
1992,Chinook,603015
1992,Chum,10187488
1992,Coho,7069123
1992,Pink,60475939
1992,Sockeye,58177212
